,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,British,Asia,Holy,Roman,Empire,Africa,Angola,Kasanje,Kingdom,Kambolo,Ngonga,King,Kamweje,Kalunga,Mbumba,Kinguri,Malenge,Kitumba,Kwango,Kalanyi,Kiluanje,Kongo,Henrique,XIII,Peter,Portugal,Portuguese,Colony,Southwest,EuropeCameroon,Fondom,Bafut,Achirimbi,Abumbi,Bamum,Ngouhouo,Mfon,Ngoungoure,Nsangou,Duala,Priso,Chief,Mbape,Bele,Kamerun,German,African,,,
1,December,Carloman,Charlemagne,Frankish,Kingdom,Jerusalem,Sidon,Kings,Louis,France,Henry,England,Treaty,Paris,French,Europe,Council,Trent,Thirty,eight,Berkeley,Hundred,Virginia,Almighty,Royal,Danish,Army,King,Christian,Charles,Battle,Lund,Scanian,Edward,Stuart,Derby,Second,Jacobite,Rising,Tavern,York,City,U.S.,General,George,Washington,Mission,,,
2,Cholera,Vibrio,Diarrhea,five,Food,Drug,Administration,Vaxchora,Rice,Zinc,Ringer,million,"28,800","130,000",seven,Areas,Africa,Southeast,Asia,Sanskrit,Europe,England,John,Snow,Signs,Severe,Kussmaul,Blood,Muscle,Cause,Transmission,Children,four,AIDS,F508,Binding,Virulent,TcpP,TcpH,ToxR,ToxS,ToxT,,,,,,,,
3,Giovanni,Segantini,Alps,Europe,Symbolist,Switzerland,Biography,Battista,Emanuele,Maria,Segatini,Arco,Trentino,County,Tyrol,Austro,Hungarian,Empire,Agostino,Margarita,Girardi,Lodovico,seven,Irene,Milan,Italy,Marchiondi,Reformatory,Napoleon,Brera,Academy,Scapigliatura,Carlo,Bugatti,Emilio,Longoni,Chancel,Sant,Antonio,Societ,Belle,Arti,Vittore,Grubicy,Dragon,Alberto,Anton,Mauve,,
4,Joseph,Vissarionovich,Stalin,Soviet,Union,General,Secretary,Communist,Party,Chairman,Council,Ministers,Leninist,Marxism,Leninism,Stalinism,Born,Gori,Russian,Empire,Tbilisi,Spiritual,Seminary,Marxist,Social,Democratic,Labour,Pravda,Vladimir,Lenin,Bolshevik,Siberia,Bolsheviks,October,Revolution,Politburo,Civil,Five,Year,Plans,Great,Purge,million,Gulag,"700,000",International,1930s,Nazi,Germany,
5,Kolkata,Calcutta,West,Bengal,Hooghly,River,Bangladesh,Eastern,India,North,East,1.41,Metropolitan,Area,2021,Port,Bengali,Dhaka,India.In,three,Nawab,Mughal,Company,Fort,William,Siraj,Daulah,Delhi,Tollywood,Academy,Fine,Arts,Victoria,Memorial,Asiatic,Society,Indian,Museum,National,Library,Agri,Horticultural,Geological,Survey,Botanical,Mathematical,Science,Congress,,
6,Puerto,Rico,Ponce,Juan,August,Loayza,Perla,Ciudad,Quenepas,Government,Judiciary,Federal,Metropolitan,Statistical,Area,Yauco,Coamo,Combined,Municipality,Autonomous,Adjuntas,Utuado,Jayuya,Juana,Caribbean,Pueblo,three,History,Guaynia,four,Canas,Tibes,Caracoles,Bronce.During,Jacaguas,River,Portugu,Baramaya,Guayanilla,Guadalupe,Pedro,Rodr,Guzm,Germ,September,,,,,
7,Ernest,Chausson,Romantic,Life,Born,Paris,Baron,Haussmann,Court,Appeals,Henri,Fantin,Latour,Odilon,Redon,Vincent,Jules,Massenet,Conservatoire,Franck,Prix,Rome,Bayreuth,Richard,Wagner,Parsifal,Jeanne,Escudier,five,Soci,Nationale,Musique,Duparc,Gabriel,Faur,Claude,Debussy,Isaac,Mallarm,Ivan,Turgenev,Impressionist,Monet,Moussets,Limay,Yvelines,Edward,Lockspeiser,Ralph,
8,January,Battle,Bakhamra,Alids,Abbasids,Kufa,Alid,Ibrahim,Musa,Anabaptist,Movement,Conrad,Grebel,Felix,Manz,George,Blaurock,thousand,Affair,Placards,Protestant,Paris,Sweden,Prussia,Treaty,Stockholm,Teatro,Filarmonico,Verona,Abdul,Hamid,Sultan,Ottoman,Empire,Caliph,Islam,American,Power,Sympathy,Triumph,Nature,Founded,Truth,William,Hill,Brown,Boston,National,Convention,Louis
9,History,Fawdon,Wagonway,London,Blackwall,Railway,England,eight,America,West,Side,Yonkers,Patent,York,City,July,Beauregard,Orleans,U.S.,"97,343",Clay,Street,Hill,Railroad,Francisco,Andrew,Smith,Hallidie,William,Eppelsheimer,Cable,Dunedin,Zealand,George,Duncan,Australia,Melbourne,Sydney,four,five,Chicago,California,Cars,three,Brooklyn,Bridge,September,,,
10,April,U.S.,President,Harry,Truman,General,Army,Douglas,MacArthur,World,United,Nations,Command,Korean,Allied,Southwest,Pacific,Japan,North,Korea,South,June,Inchon,September,China,Armed,Services,Committee,Foreign,Relations,Senate,Congress,Background,States,Franklin,Roosevelt,Kansas,City,School,Military,Academy,West,Point,National,Guardsmen,Vaughan,,,,
11,Montreal,Montr,Canada,Quebec,Ville,Marie,City,Mary,Mount,Royal,Island,Bizard,Ottawa,2021,"1,762,949","4,291,732",59.1,69.2,Census,Metropolitan,Area,Overall,85.7,French,90.2,58.5,English,French.Historically,Toronto,1970s,International,Civil,Aviation,Organization,UNESCO,Design,12th,Economist,Intelligence,Unit,Global,Liveability,Ranking,COVID,World,University,Rankings.Montreal,Universal,,
12,March,Emperor,Tenmu,Japan,Chrysanthemum,Throne,Palace,Kiyomihara,Asuka,Michael,Autoreianos,Patriarch,Constantinople,Link,Bloodbath,Maundy,Thursday,Sweden,five,Sigismund,Dutch,East,India,Company,Walter,Raleigh,Tower,London,Great,Boston,Fire,Elba,Napoleon,Paris,"140,000","200,000",Hundred,Days,King,Ludwig,Bavaria,Harriet,Beecher,Stowe,Uncle,Cabin,Republican,Party,,
13,British,Asia,Holy,Roman,Empire,Africa,Angola,Kasanje,Kingdom,Kambolo,Ngonga,King,Kamweje,Kalunga,Mbumba,Kinguri,Malenge,Kitumba,Kwango,Kalanyi,Kiluanje,Kongo,Henrique,XIII,Peter,Portugal,Portuguese,Colony,Southwest,EuropeCameroon,Fondom,Bafut,Achirimbi,Abumbi,Bamum,Ngouhouo,Mfon,Ngoungoure,Nsangou,Duala,Priso,Chief,Mbape,Bele,Kamerun,German,African,,,
14,December,Pope,John,Berengar,Italy,Holy,Roman,Emperor,American,Revolutionary,Alfred,Grand,Union,Flag,Paul,Jones,Battle,Wiesloch,Lieutenant,Field,Marshal,Anton,Hohenlinden,General,Jean,Victor,Marie,Moreau,Archduke,Austria,Munich,First,Consul,Napoleon,Bonaparte,Marengo,Austrians,United,States,Electoral,College,Thomas,Jefferson,Aaron,Burr,Illinois,21st,U.S.,Zollverein,
15,International,Electrotechnical,Commission,Institute,Electrical,Electronics,Engineers,Institution,Engineering,Technology,History,Electricity,William,Gilbert,Johan,Wilcke,Alessandro,Volta,Hans,Christian,Sturgeon,Joseph,Henry,Edward,Davy,Georg,Michael,Faraday,James,Clerk,Maxwell,Magnetism.In,Georges,Louis,Sage,Berlin,Francisco,Salva,Campillo,Royal,Academy,Natural,Sciences,Barcelona,Europe,Nicholson,Anthony,Carlyle,,
16,April,Lothair,King,Italy,Pope,Paschal,Fatimid,Egypt,Qa'im,Allah,Raqqada,Battle,Lake,Peipus,Alexander,Nevsky,Teutonic,Knights,Charles,Entry,Rome,Roman,Dutch,Hendrick,Brederode,Margaret,Parma,Petition,Compromise,Inquisition,Seventeen,Provinces,Virginia,Pocahontas,English,John,Rolfe,Mayflower,Plymouth,Massachusetts,England,United,States,President,George,Washington,Basel,France,,
17,Alexandre,Millerand,February,April,Prime,Minister,France,January,September,President,June,Waldeck,Rousseau,Marquis,Galliffet,Paris,Commune,Workers,International,Second,Biography,Jean,Fran,Cahen,Alsatian,Jewish,Franche,Comt,.Millerand,Catholicism,Born,Secr,Conf,Georges,Laguerre,Ernest,Roche,Quercy,Decazeville,Clemenceau,Justice,Chamber,Deputies,Seine,Camille,Pelletan,Carmaux,Panama,Independent,Socialist
18,December,Vatican,Charlemagne,Pope,Henry,England,Paris,King,Charles,France,Courtiers,Christopher,Hatton,Thomas,Heneage,Queen,Elizabeth,Iberian,Union,Portugal,Spain,Philippine,Dynasty,Diarist,John,Evelyn,James,Park,London,Catherine,Fredensborg,Trom,Norway,Dominican,Republic,Haiti,Pedro,Emperor,Brazil,United,States,House,Representatives,Twelfth,Amendment,Constitution,Argentine,Juan,,
19,John,Pierpont,Morgan,Wall,Street,Gilded,J.P.,United,States,19th,U.S.,Steel,International,Harvester,General,Electric,Aetna,Western,Union,Pullman,Company,Panic,American,Progressive,Wooldridge,America,Rome,Italy,Biographer,Chernow,million,Childhood,Hartford,Connecticut,Junius,Spencer,Juliet,Public,School,Episcopal,Academy,Cheshire,September,,,,,,,
20,British,Asia,Holy,Roman,Empire,Africa,Angola,Kasanje,Kingdom,Kambolo,Ngonga,King,Kamweje,Kalunga,Mbumba,Kinguri,Malenge,Kitumba,Kwango,Kalanyi,Kiluanje,Kongo,Henrique,XIII,Peter,Portugal,Portuguese,Colony,Southwest,EuropeCameroon,Fondom,Bafut,Achirimbi,Abumbi,Bamum,Ngouhouo,Mfon,Ngoungoure,Nsangou,Duala,Priso,Chief,Mbape,Bele,Kamerun,German,African,,,
21,February,Alaric,Visigoths,Breviary,Roman,Battle,Heath,King,Louis,France,Norse,Great,Heathen,Army,Saxony,Translatio,Pope,John,Otto,Holy,Emperor,Conrad,Burgundy,Lincoln,Stephen,England,Empress,Matilda,Terra,Mariana,Latvia,Estonia,Nine,Torda,Wars,Mortimer,Cross,Owen,Tudor,Spaniard,Pedro,Mendoza,Buenos,Aires,Argentina,Scotland,Three,Kingdoms,Inverlochy,
